Last Christmas,COMINGSOON,Paul Feig,120,Madison Ingoldsby;Emma Thompson;Boris Isakovic;Lucy Miller;Emilia Clarke,ROMANCE,PG,Kate (Clarke) harumphs around London a bundle of bad decisions accompanied by the jangle of bells on her shoes another irritating consequence from her job as an elf in a year-round Christmas shop; Tom (Golding) seems too good to be true when he walks into her life and starts to see through so many of Kate's barriers; As London transforms into the most wonderful time of the year nothing should work for these two.
Terminator: Dark Fate,NOWSHOWING,Tim Miller,128,Linda Hamilton;Arnold Schwarzenegger;Mackenzie Davis;Natalia Reyes;Gabriel Luna,ACTION,NC16,Sarah Connor and a hybrid cyborg human must protect a young girl from a newly modified liquid Terminator from the future.
The Addams Family,NOWSHOWING,Greg Tiernan;Conrad Vernon,87,Oscar Isaa;Charlize Theron;Chlo� Grace Moretz,COMEDY,PG,The eccentrically macabre family moves to a bland suburb where Wednesday Addams's friendship with the daughter of a hostile conformist local reality show host exacerbates .
Ip Man 4: The Finale,COMINGSOON,Wilson Yip,120,Scott Adkins;Donnie Yen;Kwok-Kwan Chan,ACTION,NC16,Ip Man�s life remains unchanged after his wife�s death but he and his son are slowly drifting apart. To seek a better future for his son Ip Man decides to travel to the U.S only to find the stable peaceful life abroad is only skin deep. Underneath lies a deep rooted racial discrimination that is far worse than he has expected. Ip Man re-examines his position and ponders on the reason he took up martial arts in the beginning.
Gemini Man,COMINGSOON,Ang Lee,117,Benedict Wong;Will Smith;Clive Owen;Mary Elizabeth Winstead,ACTION,PG13,Gemini Man is an innovative action-thriller starring Will Smith as Henry Brogan an elite assassin who is suddenly targeted and pursued by a mysterious young operative that seemingly can predict his every move.
Jumanji: The Next Level,NOWSHOWING,Jake Kasdan,108,Jack Black;Kevin Hart;Dwayne Johnson;Karen Gillan,ACTION,PG13,"A team of friends return to Jumanji to rescue one of their own but discover that nothing is as they expect. The players need to brave parts unknown, from arid deserts to snowy mountains in order to escape the world's most dangerous game."
